id,date,year,month,day,avg_temp,max_temp,min_temp,humidity,precipitation
1,2025-01-01,2025,1,1,24.0,27.0,21.8,86.0,2.5
2,2025-01-02,2025,1,2,24.2,29.2,21.4,88.0,2.39
3,2025-01-03,2025,1,3,25.7,34.3,19.7,76.0,0.0
4,2025-01-04,2025,1,4,24.0,30.0,21.0,78.0,0.6
5,2025-01-05,2025,1,5,23.0,27.5,19.4,74.0,0.4
6,2025-01-06,2025,1,6,22.6,25.9,19.9,76.0,1.5
7,2025-01-07,2025,1,7,22.7,26.0,20.4,76.0,2.2
8,2025-01-08,2025,1,8,22.3,23.9,20.8,81.0,18.9
9,2025-01-09,2025,1,9,22.4,25.2,20.2,80.0,5.6
10,2025-01-10,2025,1,10,22.6,25.3,20.2,76.0,0.5
11,2025-01-11,2025,1,11,21.9,23.9,19.8,75.0,3.2
12,2025-01-12,2025,1,12,21.9,25.0,19.7,77.0,0.1
13,2025-01-13,2025,1,13,22.1,25.7,18.8,74.0,2.3
14,2025-01-14,2025,1,14,22.7,26.1,19.4,74.0,1.0
15,2025-01-15,2025,1,15,23.4,27.0,19.8,75.0,2.1
16,2025-01-16,2025,1,16,24.0,26.2,22.2,90.0,14.0
17,2025-01-17,2025,1,17,25.2,29.1,23.0,88.0,16.8
18,2025-01-18,2025,1,18,26.7,33.0,22.7,82.0,7.32
19,2025-01-19,2025,1,19,25.2,28.7,22.3,89.0,8.2
20,2025-01-20,2025,1,20,26.2,31.1,22.9,85.0,16.7
21,2025-01-21,2025,1,21,26.1,31.9,22.0,78.0,1.2
22,2025-01-22,2025,1,22,26.0,30.7,22.4,79.0,0.0
23,2025-01-23,2025,1,23,25.8,30.6,22.4,83.0,5.7
24,2025-01-24,2025,1,24,25.5,28.5,23.3,85.0,14.5
25,2025-01-25,2025,1,25,24.8,30.2,21.3,85.0,30.53
26,2025-01-26,2025,1,26,25.2,28.6,22.6,85.0,5.9
27,2025-01-27,2025,1,27,25.0,28.9,20.9,80.0,1.0
28,2025-01-28,2025,1,28,24.9,28.6,21.0,79.0,1.4
29,2025-01-29,2025,1,29,24.7,28.2,22.6,82.0,9.8
30,2025-01-30,2025,1,30,24.3,28.0,21.6,83.0,4.37
31,2025-01-31,2025,1,31,24.4,29.0,21.1,83.0,3.7
32,2025-02-01,2025,2,1,24.4,27.8,22.5,88.0,8.8
33,2025-02-02,2025,2,2,24.7,28.1,22.4,88.0,18.9
34,2025-02-03,2025,2,3,25.5,29.4,22.7,84.0,9.6
35,2025-02-04,2025,2,4,26.1,31.7,22.7,83.0,2.7
36,2025-02-05,2025,2,5,26.7,32.7,22.0,80.0,3.0
37,2025-02-06,2025,2,6,26.2,31.4,23.4,84.0,4.2
38,2025-02-07,2025,2,7,25.6,29.0,22.5,83.0,3.4
39,2025-02-08,2025,2,8,24.6,28.0,21.8,77.0,1.7
40,2025-02-09,2025,2,9,24.8,30.4,19.6,81.0,0.0
41,2025-02-10,2025,2,10,25.8,29.9,23.1,83.0,0.2
42,2025-02-11,2025,2,11,26.9,31.9,23.6,82.0,0.1
43,2025-02-12,2025,2,12,27.5,34.3,23.3,77.0,10.3
44,2025-02-13,2025,2,13,26.3,33.6,21.7,83.0,11.3
45,2025-02-14,2025,2,14,24.3,28.2,21.3,86.0,7.8
46,2025-02-15,2025,2,15,25.4,29.1,21.8,83.0,5.2
47,2025-02-16,2025,2,16,26.9,30.8,24.1,85.0,6.8
48,2025-02-17,2025,2,17,28.2,35.5,23.5,81.0,17.4
49,2025-02-18,2025,2,18,24.0,26.8,22.4,92.0,29.4
50,2025-02-19,2025,2,19,24.2,27.6,22.3,90.0,17.18
51,2025-02-20,2025,2,20,24.3,28.7,21.7,89.0,2.2
52,2025-02-21,2025,2,21,25.1,29.2,22.0,82.0,0.5
53,2025-02-22,2025,2,22,24.9,27.6,23.0,80.0,0.9
54,2025-02-23,2025,2,23,25.0,28.1,22.8,80.0,1.4
55,2025-02-24,2025,2,24,25.6,30.0,21.6,81.0,0.6
56,2025-02-25,2025,2,25,26.5,30.0,24.3,84.0,0.4
57,2025-02-26,2025,2,26,26.8,30.5,24.3,84.0,1.9
58,2025-02-27,2025,2,27,26.3,29.6,24.2,85.0,4.67
59,2025-02-28,2025,2,28,26.1,30.5,23.2,81.0,1.04
60,2025-03-01,2025,3,1,26.6,30.5,24.1,81.0,0.7
61,2025-03-02,2025,3,2,26.9,30.8,24.4,80.0,0.3
62,2025-03-03,2025,3,3,26.4,29.5,24.6,80.0,1.4
63,2025-03-04,2025,3,4,26.4,29.7,24.1,78.0,2.3
64,2025-03-05,2025,3,5,26.1,29.6,23.2,78.0,3.9
65,2025-03-06,2025,3,6,25.8,29.7,23.3,81.0,1.0
66,2025-03-07,2025,3,7,25.4,29.3,22.7,80.0,1.9
67,2025-03-08,2025,3,8,26.0,30.4,23.6,81.0,2.4
68,2025-03-09,2025,3,9,25.3,31.7,21.5,84.0,6.4
69,2025-03-10,2025,3,10,23.3,26.9,21.0,80.0,0.0
70,2025-03-11,2025,3,11,22.8,25.5,20.7,82.0,17.6
71,2025-03-12,2025,3,12,23.0,27.1,21.0,95.0,11.7
72,2025-03-13,2025,3,13,22.8,26.7,21.2,92.0,15.9
73,2025-03-14,2025,3,14,22.7,26.3,20.3,81.0,0.0
74,2025-03-15,2025,3,15,22.6,25.2,20.8,74.0,1.1
75,2025-03-16,2025,3,16,22.5,25.9,18.8,76.0,0.0
76,2025-03-17,2025,3,17,23.4,26.7,20.2,79.0,0.8
77,2025-03-18,2025,3,18,24.1,29.0,21.1,82.0,14.4
78,2025-03-19,2025,3,19,22.3,26.6,19.0,82.0,0.1
79,2025-03-20,2025,3,20,21.9,27.1,18.1,76.0,0.4
80,2025-03-21,2025,3,21,22.4,26.9,19.2,74.0,1.2
81,2025-03-22,2025,3,22,22.8,27.4,18.6,79.0,0.1
82,2025-03-23,2025,3,23,24.4,28.4,22.2,87.0,0.3
83,2025-03-24,2025,3,24,24.0,29.0,20.6,90.0,4.7
84,2025-03-25,2025,3,25,23.8,27.3,21.8,92.0,0.4
85,2025-03-26,2025,3,26,23.5,26.4,21.1,82.0,5.9
86,2025-03-27,2025,3,27,23.7,27.3,20.6,85.0,1.5
87,2025-03-28,2025,3,28,24.4,27.8,22.0,88.0,1.3
88,2025-03-29,2025,3,29,24.5,29.2,21.7,87.0,7.37
89,2025-03-30,2025,3,30,24.3,27.3,22.0,86.0,0.54
90,2025-03-31,2025,3,31,24.3,29.3,21.4,84.0,0.09
91,2025-04-01,2025,4,1,24.6,28.7,22.0,83.0,0.7
92,2025-04-02,2025,4,2,25.1,29.2,21.7,84.0,2.9
93,2025-04-03,2025,4,3,23.6,28.1,21.9,93.0,18.8
94,2025-04-04,2025,4,4,21.3,25.2,18.0,84.0,7.6
95,2025-04-05,2025,4,5,18.7,22.2,14.8,70.0,0.2
96,2025-04-06,2025,4,6,20.7,23.9,18.1,72.0,0.7
97,2025-04-07,2025,4,7,21.3,24.1,19.2,84.0,6.6
98,2025-04-08,2025,4,8,20.8,23.4,18.8,93.0,9.0
99,2025-04-09,2025,4,9,22.5,26.7,21.0,89.0,4.8
100,2025-04-10,2025,4,10,21.4,24.2,20.6,91.0,17.5
101,2025-04-11,2025,4,11,21.9,25.0,19.5,83.0,8.3
102,2025-04-12,2025,4,12,21.3,24.9,18.3,85.0,0.4
103,2025-04-13,2025,4,13,20.9,23.6,18.5,92.0,9.2
104,2025-04-14,2025,4,14,21.0,25.0,18.4,80.0,0.0
105,2025-04-15,2025,4,15,20.5,23.1,18.3,75.0,0.0
106,2025-04-16,2025,4,16,21.8,26.2,18.5,81.0,0.3
107,2025-04-17,2025,4,17,21.5,25.2,18.4,84.0,0.1
108,2025-04-18,2025,4,18,22.6,26.3,19.7,86.0,3.1
109,2025-04-19,2025,4,19,21.8,25.8,19.3,89.0,2.7
110,2025-04-20,2025,4,20,19.9,22.7,18.0,79.0,0.0
111,2025-04-21,2025,4,21,19.0,21.3,17.8,74.0,0.0
112,2025-04-22,2025,4,22,19.0,23.2,14.9,77.0,0.0
113,2025-04-23,2025,4,23,19.5,24.2,15.9,81.0,0.1
114,2025-04-24,2025,4,24,20.3,24.3,18.1,86.0,0.0
115,2025-04-25,2025,4,25,20.7,24.6,17.7,80.0,0.0
116,2025-04-26,2025,4,26,20.9,25.8,17.1,84.0,1.1
117,2025-04-27,2025,4,27,21.7,26.7,18.9,86.0,0.9
